ID,TITLE,ARTIST,TYPE,ORIGIN,SEASON,YEAR,NOTES
1,CHA-LA HEAD CHA-LA,Hironobu Kageyama,Anime,Dragon Ball,Z,1989.0,
2,Kimi ga Suki da to Sake Bitai,Baad,Anime,Slam Dunk,,1993.0,
3,D-TecnoLife,UVERworld,Anime,Bleach,,2005.0,
4,Red fraction,MELL,Anime,Black Lagoon,,2006.0,
5,Sakura Kiss,Chieko Kawabe,Anime,Ouran High School Host Club,,2006.0,
6,PAPERMOON,Tommy heavenly6,Anime,Soul Eater,,2008.0,
7,Monochrome Kiss,SID,Anime,Black Butler,,2008.0,
8,Special days,"Hitomi Nabatame, Yuuko Gotou, Ayahi Takagaki",Anime,Special A,,2008.0,
9,Blue Bird,Ikimono-gakari,Anime,Naruto Shippuden,,2008.0,
10,Pre-Parade,"Rie Kugimiya, Yui Horie, Eri Kitamura",Anime,Toradora!,,2008.0,
11,Cagayake Girls,Houkago Tea Time,Anime,K-On!,,2009.0,
12,Vanilla Salt,Yui Horie,Anime,Toradora,,2009.0,
13,Hologram,NICO Touches the Walls,Anime,Fullmetal Alchemist: Brotherhood,,2009.0,
14,"My Soul, Your Beats",Lia,Anime,Angel Beats,,2010.0,
15,again,yui,Anime,Fullmetal Alchemist: Brotherhood,,2010.0,
16,Uragirinoyuuyake,Theatre Brook,Anime,Durarara!!,,2010.0,
17,God only knows,Oratorio The World God Only Knows (ELISA),Anime,The World God Only Knows,,2010.0,
18,Snow Halation,μ's,Anime,Love Live! School Idol Project,,2010.0,
19,Balance KISS,"Ayana Taketatsu, Yuiko Tatsumi",Anime,Kiss X Sis,,2010.0,
20,Bouken Desho Desho?,Aya Hirano,Anime,The Disappearance of Haruhi Suzumiya,,2010.0,
21,Loop-the-Loop,KOTOKO,Anime,Motto To Love-Ru,,2010.0,
22,My Dearest,supercell,Anime,Guilty Crown,,2011.0,
23,oath sign,LiSA,Anime,Fate/Zero,,2011.0,
24,departure!,Masatoshi Ono,Anime,Hunter x Hunter (2011),,2011.0,
25,Be Starters!,Eri Kitamura,Anime,Mayo Chiki!,,2011.0,
