ID,TITLE,ARTIST,TYPE,ORIGIN,SEASON,YEAR,NOTES
26,The Everlasting Guilty,EGOIST,Anime,Guilty Crown,,2011.0,
27,Nakimushi.,Miku Sawai,Anime,You and Me.,,2011.0,
28,Dream of Life,Shohei Itou,Anime,Bakuman.: Season 2,,2011.0,
29,Kimi + Nazo + Watashi de JUMP!!,Larval Stage Planning,Anime,Baka & Test: Summon the Beasts,,2011.0,
30,Departures (Anata ni Okuru Ai no Uta),EGOIST,Anime,Guilty Crown,,2011.0,
31,Hacking To The Gate,Kanako Itou,Anime,Steins;Gate,,2011.0,
32,Fly Away,Togashi Misuzu,Anime,Maken-ki!,,2011.0,
33,Destin Histoire,yoshiki*lisa,Anime,Gosick,,2011.0,
34,STRAIGHT JET,Minami Kuribayashi,Anime,Infinite Stratos,,2011.0,
35,DAYS of DASH,Konomi Suzuki,Anime,The Pet Girl of Sakurasou,,2012.0,
36,Reason why XXX,Sasaki Sayaka,Anime,"So, I Can't Play H!",,2012.0,
37,Platinum 17,yozuca*,Anime,"So, I Can't Play H!",,2012.0,
38,Kamisama Hajime,Hanae,Anime,Kamisama Kiss,,2012.0,
39,Little Busters,Rita,Anime,Little Busters!,,2012.0,
40,abnormalize,Ling Tosite Sigure,Anime,Psycho-Pass,,2012.0,
41,Nippon Egao Hyakk,Momoiro Clover Z,Anime,Joshiraku,,2012.0,
42,Burst the Gravity,ALTIMA ,Anime,Accel World,,2012.0,
43,Above your hand,Annabel,Anime,Sankarea,,2012.0,
44,Paradigm,Eufonius,Anime,Kokoro Connect,,2012.0,
45,Sono Chi no Sadame,Hiroaki TOMMY Tominaga,Anime,JoJo's Bizarre Adventure (2012),,2012.0,
46,Kyoumu Densen,ALI PROJECT,Anime,Another,,2012.0,
47,Yumesekai,Haruka Tomatsu,Anime,Sword Art Online,,2012.0,
48,Yukitoki,Nagi Yanagi,Anime,My Teen Romantic Comedy SNAFU,,2013.0,
49,Golden Time,Yui Horie,Anime,Golden Time,,2013.0,
50,The Other self,GRANRODEO,Anime,Kuroko no Basket,,2013.0,
51,Girlish Lover,Mizukara wo Enshutsu Suru Otome no Kai,Anime,Oreshura,,2013.0,
52,May I Help You?,"Ai Kayano, Mai Nakahara, Aki Toyosaki",Anime,Servant x Service,,2013.0,
53,Dramatic Market Ride,Aya Suzaki,Anime,Tamako Market,,2013.0,
54,"Baby Sweet, Berry",Yui Ogura,Anime,"The ""Hentai"" Prince and the Stony Cat.",,2013.0,
55,Mukaikaze,YOHKO,Anime,Maoyuu Maou Yuusha,,2013.0,
56,Daisy,STEREO DIVE FOUNDATION,Anime,Beyond the Boundary,,2013.0,
57,Kimi ga Emu Yuugure,Yoshino Nanjo,Anime,Tokyo Ravens,,2014.0,
58,Rakuen no Tsubasa,Maon Kurosaki,Anime,The Fruit of Grisaia,,2014.0,
59,Niji no Oto,Eir Aoi,Anime,Sword Art Online: Extra Edition,,2014.0,
60,I swear,Sweet ARMS,Anime,Date A Live II,,2014.0,
61,Orange,7!!,Anime,Your Lie in April,,2014.0,
62,LOVE GOOD TIME,SpecialThanks,Anime,Wolf Girl and Black Prince,,2014.0,
63,KOI NO UTA,Keiji Fujiwara,Anime,Tamako Love Story,,2014.0,
64,"Kyouran, Hey Kids!!",THE ORAL CIGARETTES,Anime,Noragami Aragoto,,2014.0,
65,Ah Yeah!,Sukima Switch,Anime,Haikyuu!! Season 2,,2014.0,
66,Rashisa,SUPER BEAVER,Anime,Rashisa,,2014.0,
67,Tomadoi Recipe,Mikakuning!,Anime,Engaged to the Unidentified,,2014.0,
68,IGNITE,Eir Aoi,Anime,Sword Art Online II,,2014.0,
69,Q&A,"Marina Inoue, Saeko Zougou",Anime,Date A Live II,,2014.0,
70,Hikaru Nara,Goose house,Anime,Your Lie in April,,2014.0,
71,This game,Konomi Suzuki,Anime,"No Game, No Life",,2014.0,
72,Daydream Café,Petit Rabbit's,Anime,Is the Order a Rabbit?,,2014.0,
73,Netsuju no Spectrum,Ikimono-gakari,Anime,The Seven Deadly Sins,,2014.0,
74,black bullet,fripSide,Anime,Black Bullet,,2014.0,
75,STEP,ClariS,Anime,Nisekoi: False Love,,2014.0,
76,Nanairo Symphony,Coalamode,Anime,Your Lie in April,,2014.0,
77,Kanade,Sora Amamiya,Anime,One Week Friends,,2014.0,
78,Colorful,Miku Sawai,Anime,Saekano: How to Raise a Boring Girlfriend,,2015.0,
79,Kuchizuke Diamond,WEAVER,Anime,Yamada-kun and the Seven Witches,,2015.0,
80,Candy Magic,MimimemeMIMI,Anime,Yamada-kun and the Seven Witches,,2015.0,
81,Everyday World,"Saori Hayami, Nao Toyama",Anime,My Teen Romantic Comedy SNAFU,,2015.0,
82,Bravely You,Lia,Anime,Charlotte,,2015.0,
83,No Poi!,Petit Rabbit's,Anime,Is the Order a Rabbit??,,2015.0,
84, -toward the truth- ,fripSide,Anime,Seraph of the End,,2015.0,
85,Brave Shine,Aimer,Anime,Fate/stay night: Unlimited Blade Works,,2015.0,
86,Harumodoki,nagi yanagi,Anime,My Teen Romantic Comedy SNAFU TOO!,,2015.0,
87,Akatsuki no Hana,Cyntia,Anime,Yona of the Dawn,,2015.0,
88,Season,Alisa Takigawa,Anime,The Seven Deadly Sins,,2015.0,
89,Yasashii Kibou,Saori Hayami,Anime,Snow White with the Red Hair,,2015.0,
90,Ring of Fortune,Eri Sasaki,Anime,Plastic Memories,,2015.0,
91,Miraikei Answer,TRUSTRICK,Anime,My Love Story!!,,2015.0,
92,Hello shooting star,Moumoon,Anime,Assassination Classroom,,2015.0,
93,B Chiku Sentai SOX,SOX,Anime,Shimoneta: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,,2015.0,
94,Umarun Taisou,"Aya Suzaki, Yumiri Hanamori, Rumi Ookubo, Haruka Shiraishi",Anime,Himouto! Umaru-chan,,2015.0,
95,Kimiiro Signal,Luna Haruna,Anime,Saekano: How to Raise a Boring Girlfriend,,2015.0,
96,Tokimeki Poporon,"Inori Minase, Sora Tokui, Rie Murakawa",Anime,Is the Order a Rabbit?,,2015.0,
97,Stay Alive,Rie Takahashi,Anime,Re:Zero − Starting Life in Another World,,2016.0,
98,Koi wo Shita no wa,Aiko,Anime,A Silent Voice,,2016.0,
99,Knew day,(k)NoW_NAME,Anime,"Grimgar, Ashes and Illusions",,2016.0,
100,The Asterisk War,Shiena Nishizawa,Anime,The Asterisk War: Season 2,,2016.0,
101,Daisuki dayo,"Ai Kakuma, Nobuhiko Okamoto",Anime,Momokuri,,2016.0,
102,99.9,MOB CHOIR feat. sajou no hana,Anime,Mob Psycho 100 II,,2016.0,
103,Shirushi,LiSA,Anime,Sword Art Online: Season 2,,2016.0,
104,Chiisana Boukensha,"Inori Minase, Sora Amamiya, Rie Takahashi",Anime,KONOSUBA: God's blessing on this wonderful world!,,2016.0,
105,Great Days,"Karen Aoki, Daisuke Hasegawa",Anime,JoJo's Bizarre Adventure: Diamond is Unbreakable,,2016.0,
106,Re: Re:,ASIAN KUNG-FU GENERATION,Anime,ERASED: Boku dake ga Inai Machi,,2016.0,
107,Kaze no Uta,FLOW,Anime,Tales of Zestiria the X,,2016.0,
108,7 -seven-,FLOW x GRANRODEO,Anime,The Seven Deadly Sins,,2016.0,
109,LAY YOUR HANDS ON ME,Boom Boom Satellites,Anime,Kiznaiver,,2016.0,
110,Sekai wa Kyou mo Atarashii,Kana Hanazawa,Anime,Girls Beyond the Wasteland,,2016.0,
111,Steppin' Out,FLOW,Anime,Durarara!!x2 Ketsu,,2016.0,
112,Ima Koko,Nao Touyama,Anime,"As The Moon, So Beautiful",,2017.0,
113,Akane Sasu,Aimer,Anime,Natsume's Book of Friends,,2017.0,
114,Shinzou wo Sasageyo,Linked Horizon,Anime,Attack on Titan: Season 2,,2017.0,
115,Bon Appetit S,"Azumi Waki, Akari Kito, Anzu Haruno",Anime,Blend S,,2017.0,
116,Sen no Tsubasa,livetune adding Takuro Sugawara (from 9mm Parabellum Bullet),Anime,Re:Hamatora,,2017.0,
117,Nimensei☆Uraomote,Aimi Tanaka,Anime,Himouto! Umaru-chan: 2nd Season,,2017.0,
118,Kanashii Ureshii,frederic,Anime,Love & Lies,,2017.0,
119,Caste Room,ZAQ,Anime,Classroom of the Elite,,2017.0,
120,Hope,Namie Amuro,Anime,One Piece,,2017.0,
121,DEAREST DROP,Azusa Tadokoro,Anime,WorldEnd: What do you do at the end of the world?,,2017.0,
122,Eien no Labyrinth,Aoi Yuuki,Anime,My Girlfriend is ShoBitch,,2017.0,
123,Tsuki ga Kirei,Nao Touyama,Anime,"As The Moon, So Beautiful",,2017.0,
124,Detarame na Minus to Plus ni Okeru Blend Ko,BLEND-A,Anime,Blend S,,2017.0,
125,Deal with the devil,Tia,Anime,Kakegurui,,2017.0,
126,"Donna Hoshizora Yori mo, Donna Omoide Yori mo",ChouCho,Anime,A Sister's All You Need,,2017.0,
127,Hitorigoto,ClariS,Anime,Eromanga Sensei,,2017.0,
128,Ryuusei,Eir Aoi,Anime,Sword Art Online Alternative: Gun Gale Online,,2018.0,
129,katharsis,TK from Ling tosite sigure,Anime,Tokyo Ghoul:re,,2018.0,
130,Hikari e,FranChouChou,Anime,ZOMBIELAND SAGA,,2018.0,
131,Another colony,TRUE,Anime,Kakuriyo: Bed & Breakfast for Spirits,,2018.0,
132,Momoiro Typhoon,Luna Haruna,Anime,Yuuna and the Haunted Hot Springs,,2018.0,
133,Darling,XX:me,Anime,Darling in the FranXX,,2018.0,
134,Love Song,Iwami Manaka,Anime,Tada Never Falls in Love,,2018.0,
135,Sincerely,TRUE,Anime,Violet Evergarden,,2018.0,
136,Itsuka Sekai ga,Iida Riho,Anime,Boarding School Juliet,,2018.0,
137,POP TEAM EPIC,Sumire Uesaka,Anime,Pop Team Epic,,2018.0,
138,Adabana Necromancy,FranChouChou,Anime,ZOMBIELAND SAGA,,2018.0,
139,Otomodachi Film,Masayoshi Oishi,Anime,Tada Never Falls in Love,,2018.0,
140,SWITCH,Minami,Anime,High School DxD Hero,,2018.0,
141,Korekara,Machico,Anime,The Ryuo's Work is Never Done!,,2018.0,
142,Kimi no Sei,the peggies,Anime,Rascal Does Not Dream of Bunny Girl Senpai,,2018.0,
143,Isekai Quartet,"Satoshi Hino, Jun Fukushima, Yuusuke Kobayashi, Aoi Yuuki",Anime,Isekai Quartet,,2019.0,
144,"Can Now, Can Now",Study,Anime,We Never Learn,,2019.0,
145,Is There Still Anything That Love Can Do,RADWIMPS,Anime,Weathering With You,,2019.0,
146,Ringoiro Memories,"Yuuko Goto, Shizuka Ishigami, Sumire Uesaka, Nozomi Yamamoto",Anime,"Why the Hell are You Here, Teacher!?",,2019.0,
147,veil,Keina Suda,Anime,Fire Force,,2019.0,
148,TIT FOR TAT,MYTH & ROID,Anime,The Hero is Overpowered but Overly Cautious,,2019.0,
149,forget-me-not,ReoNa,Anime,Sword Art Online: Alicization,,2019.0,
150,Zero Centimeters,Yuiko Ohara,Anime,Teasing Master Takagi-san: Season 2,,2019.0,
151,FAITH,MADKID,Anime,The Rising of the Shield Hero: Season 2,,2019.0,
152,Otome domo yo,CHiCO with HoneyWorks,Anime,Kaguya-sama: Love is War,,2019.0,
153,Chime,Ai Otsuka,Anime,Fruits Basket (2019),,2019.0,
154,HELLO to DREAM,Yuka Iguchi,Anime,Is It Wrong to Try to Pick Up Girls in a Dungeon?: Season 2,,2019.0,
155,Meguru Mono,Takuma Terashima,Anime,That Time I Got Reincarnated as a Slime,,2019.0,
156,RISE,MADKID,Anime,The Rising of the Shield Hero,,2019.0,
157,Grand Escape,RADWIMPS,Anime,Weathering With You,,2019.0,
158,Kaen,Ziyoou-vachi,Anime,Dororo,,2019.0,
159,Sentimental Crisis,halca,Anime,Kaguya-sama: Love is War,,2019.0,
160,Isekai Girls Talk,"Yumi Hara, Sora Amamiya, Rie Takahashi, Aoi Yuuki",Anime,Isekai Quartet,,2019.0,
161,Zettai Zetsumei,Co shu Nie,Anime,The Promised Neverland,,2019.0,
162,Houkago no Liberty,halca,Anime,We Never Learn,,2019.0,
163,Bon Kyu Bon wa Kare no Mono,Sumire Uesaka,Anime,"Why the Hell are you Here, Teacher?! ",,2019.0,
164,Little Soldier,Azusa Tadokoro,Anime,That Time I Got Reincarnated as a Slime,,2019.0,
165,FLARE,Void_Chords feat. LIO,Anime,Arifureta: From Commonplace to World's Strongest,,2019.0,
166,Broken Sky,Miyu Tomita,Anime,Talentless Nana,Fall,2020.0,
167,Shinkai,Eve,Anime,"Josee, the Tiger and the Fish",Fall,2020.0,
168,SPARK-AGAIN,Aimer,Anime,Fire Force: Season 2,Summer,2020.0,
169,Star Marker,KANA-BOON,Anime,My Hero Academia: Season 4,Winter,2020.0,
170,Tomoshibi no Manimani,Nao Toyama,Anime,Kakuriyo: Bed & Breakfast for Spirits,Spring,2018.0,
171,LOST IN PARADISE,ALI,Anime,Jujutsu Kaisen,Fall,2020.0,
172,Kokuhaku Bungee Jump,halca,Anime,Rent-a-Girlfriend,Summer,2020.0,
173,Kyuukyoku Unbalance,Afilia Saga,Anime,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",Winter,2020.0,
174,FIRST DROP,halca,Anime,Rent-a-Girlfriend,Summer,2020.0,
175,WAKE UP HxEROS,"BURNOUT SYNDROMES, Yoshitsugu Matsuoka",Anime,SUPER HXEROS,Summer,2020.0,
176,Torch of Liberty,KANA-BOON,Anime,Fire Force: Season 2,Summer,2020.0,
177,Plunderer,Miku Itou,Anime,Plunderer,Winter,2020.0,
178,Desire,PELICAN FANCLUB,Anime,Fire Force: Season 2,Summer,2020.0,
179,BREAKING DAWN,Jae Joong,Anime,Noblesse,Fall,2020.0,
180,Megumi no Ame,nagi yanagi,Anime,My Teen Romantic Comedy SNAFU Climax!,Summer,2020.0,
181,Tiny Light,Akari Kito,Anime,Toilet-Bound Hanako-kun,Winter,2020.0,
182,A Walk,Gakuto Kajiwara,Anime,Black Clover,Summer,2020.0,
183,homura,LiSA,Anime,Demon Slayer: Kimetsu no Yaiba: The Movie: Mugen Train,Fall,2020.0,
184,Crossing Road,Mai Fuchigami,Anime,Food Wars! The Fifth Plate,Spring,2020.0,
185,Isekai Showtime,Isekai Quartet,Anime,Isekai Quartet 2,Winter,2020.0,
186,Kimi To Iu Shinhwa,"Jun Maeda, nagi yanagi",Anime,The Day I Became a God,Fall,2020.0,
187,Kaze Fukeba Tsukiyo no Hate ni,AOP,Anime,Tsugu Tsugumomo,Spring,2020.0,
188,Kago no Naka ni Tori,yourness,Anime,"Sing ""Yesterday"" for Me",Spring,2020.0,
189,Centimeter,the peggies,Anime,Rent-a-Girlfriend,Summer,2020.0,
190,Ready To,Sumire Morohoshi,Anime,BNA: Brand New Animal,Spring,2020.0,
191,NEW ERA,SixTONES,Anime,Yashahime: Princess Half-Demon,Fall,2020.0,
192,Nakayoshi! ○! Nakayoshi!,Chimame-tai,Anime,Is the Order a Rabbit? Bloom,Fall,2020.0,
193,Kimi ni Aeta Hi,"Akari Kito, Miku Ito",Anime,Adachi and Shimamura,Fall,2020.0,
194,Diamond Clarity,"Saori Hayami, Nao Toyama",Anime,My Teen Romantic Comedy SNAFU Climax!,Summer,2020.0,
195,PARADOX,Sora Amamiya,Anime,"Science Fell in Love, So I Tried to Prove It",Winter,2020.0,
196,DREAMIN' ON,Da-iCE,Anime,One Piece,Winter,2020.0,
197,Magic Words,Liyuu,Anime,Hatena Illusion,Winter,2020.0,
198,Hero Too,Chrissy Costanza,Anime,My Hero Academia: Season 4,Winter,2020.0,
199,Against.,Kaori Ishihara,Anime,Our Last Crusade or the Rise of a New World,Fall,2020.0,
200,Tenkuu Cafeteria,Petit Rabbit's,Anime,Is the Order a Rabbit? Bloom,Fall,2020.0,
201,Kaikai Kitan,Eve,Anime,Kaikai Kitan,Fall,2020.0,
202,DADDY! DADDY! DO!,"Masayuki Suzuki, Airi Suzuki",Anime,Kaguya-sama: Love is War: Season 2,Spring,2020.0,
203,Memento,nonoc,Anime,Re:ZERO: Starting Life in Another World: Season 2,Summer,2020.0,
204,Nijiiro Passions!,Nijigasaki School Idol Club,Anime,Love Live! Nijigasaki High School Idol Club,Fall,2020.0,
205,SLUMP,Stray Kids,Anime,Tower of God,Spring,2020.0,
206,Turing Love,"Akari Nanawo, Sou",Anime,"Science Fell in Love, So I Tried to Prove It",Winter,2020.0,
207,Let’s Go To Paradise,"Yuusuke Kobayashi, Junji Majima, Miyu Tomita",Anime,Interspecies Reviewers,Winter,2020.0,
208,ID,CIDERGIRL,Anime,Fire Force: Season 2,Summer,2020.0,
209,Tsuki to Hoshizora,"Yunomi, Tsukasa Yuzuki",Anime,Tonikaku Kawaii,Fall,2020.0,
210,I will…,Eir Aoi,Anime,Sword Art Online: Alicization: War of Underworld: Part 2,Summer,2020.0,
211,Anti world,Kanako Takatsuki,Anime,I'm Standing on a Million Lives,Fall,2020.0,
212,DiViNE,EXiNA,Anime,Blue Reflection Ray,Spring,2021.0,
213,Onnaji Kimochi.,Kiyono Yasuno,Anime,Restaurant to Another World 2,Fall,2021.0,
214,Wanna Fly?,Yoko Ishida,Anime,World Witches Take Off!,Winter,2021.0,
215,Jinsei Easy?,DIALOGUE+,Anime,Bottom-Tier Character Tomozaki,Winter,2021.0,
216,Like Flames,MindaRyn,Anime,That Time I Got Reincarnated as a Slime: Season 2: Part 2,Summer,2021.0,
217,give it back,Co shu Nie,Anime,Jujutsu Kaisen,Winter,2021.0,
218,Kyoukaisen,amazarashi,Anime,86 Part 2,Fall,2021.0,
219,SHAKE! SHAKE! SHAKE!,Yuuma Uchida,Anime,Dr. Ramune: Mysterious Disease Specialist,Winter,2021.0,
220,Yuke,LiSA,Anime,Sword Art Online the Movie: Progressive: Aria of a Starless Night,,2021.0,
221,Kokoro Hayaru,Akane Kumada,Anime,Drug Store in Another World: The Slow Life of a Cheat Pharmacist,Summer,2021.0,
222,Only one yell,9-tie,Anime,Selection Project,Fall,2021.0,
223,ODDTAXI,"PUNPEE, Skirt",Anime,Odd Taxi,Spring,2021.0,
224,Shirushibi,nagi yanagi,Anime,The Faraway Paladin,Fall,2021.0,
225,Otogibanashi no Youna Kiseki,Aoi Kubo,Anime,Deiji Meets Girl,Fall,2021.0,
226,Zankoku na Yume to Nemure,Minami Kuribayashi,Anime,Redo of Healer,Winter,2021.0,
227,freeze,flumpool,Anime,Seven Knights Revolution: Hero Successor,Spring,2021.0,
228,Mahi,yama,Anime,2.43: Seiin High School Boys Volleyball Team,Winter,2021.0,
229,Rinne,V.W.P,Anime,Muv-Luv Alternative,Fall,2021.0,
230,takt,Mafumafu,Anime,takt op.Destiny,Fall,2021.0,
231,Grandeur,Snow Man,Anime,Black Clover,Winter,2021.0,
232,Susume! Mujina Company,"Hisako Kanemoto, Rina Hidaka, Sumire Uesaka",Anime,Cute Executive Officer,Winter,2021.0,
233,STACKiNG,BiSH,Anime,Kingdom: Season 3,Fall,2021.0,
234,Only,Yuiko Ohara,Anime,Mushoku Tensei: Jobless Reincarnation,Winter,2021.0,
235,Colorful Canvas,"Aina Suzuki, Mikako Komatsu, Shiori Izawa, Sumire Uesaka",Anime,"Don't Toy With Me, Miss Nagatoro",Summer,2021.0,
236,Shounen Shoujo,Ging Nang Boyz,Anime,Sonny Boy,Summer,2021.0,
237,Toumei na Sekai,Little Glee Monster,Anime,Yashahime: Princess Half-Demon: The Second Act,Fall,2021.0,
238,Hoshi no Orchestra,saji,Anime,"The Curtain Rises, Opera Girl!",Summer,2021.0,
239,in case…,BiSH,Anime,Godzilla Singular Point,Spring,2021.0,
240,Tomedonai Shiosai,ARCANA PROJECT,Anime,The Aquatope on White Sand,Fall,2021.0,
241,Bouken no VLOG,CHiCO with HoneyWorks,Anime,Edens Zero,Spring,2021.0,
242,Wadachi,SPYAIR,Anime,Gintama: The Final Movie,Winter,2021.0,
243,Fuzaketenaize,Necry Talkie,Anime,"Girlfriend, Girlfriend",Summer,2021.0,
244,TWISTED HEARTS,Tasuku Hatanaka,Anime,Moriarty the Patriot Part 2,Spring,2021.0,
245,Pleasure,WARPs UP,Anime,Fruits Basket (2019): The Final,Spring,2021.0,
246,Eden through the rough,Takanori Nishikawa,Anime,Edens Zero,Spring,2021.0,
247,Rise Again,AIRFLIP,Anime,Ex-Arm,Winter,2021.0,
248,EVERBLUE,Omoinotake,Anime,Blue Period,Fall,2021.0,
249,Shirushi,Sayaka Sasaki,Anime,Kemono Jihen,Winter,2021.0,
250,Mahou no Kaze,Akane Kumada,Anime,Super Cub,Spring,2021.0,
251,101,Sangatsu no Phantasia,Anime,The Honor Student at Magic High School,Summer,2021.0,
252,Zankoku Shangri-La,OZ,Anime,Visual Prison,Fall,2021.0,
253,Mahou,Caho,Anime,"Dad is a Hero, Mom is a Spirit, I'm a Reincarnator",Winter,2021.0,
254,gudafuwa everyday,Aoi Yuuki,Anime,I've Been Killing Slimes for 300 Years and Maxed Out My Level,Spring,2021.0,
255,Role-Playing,Masayoshi Oishi,Anime,Dragon Goes House-Hunting,Spring,2021.0,
256,Bloodlines ~Unmei no Kettou~,JAM PROJECT,Anime,Getter Robo Arc,Spring,2021.0,
257,Ginsekai,BURNOUT SYNDROMES,Anime,Those Snow White Notes,Spring,2021.0,
258,Magokoro ni Kana,GARNiDELiA,Anime,Taisho Otome Fairy Tale,Fall,2021.0,
259,Cinderella,CIDERGIRL,Anime,Komi Can't Communicate,Fall,2021.0,
260,Seishun no Enbu,centimillimental,Anime,Backflip!!,Spring,2021.0,
261,No.6,Miku Itou,Anime,Combatants Will Be Dispatched!,Spring,2021.0,
262,Iro Kousui,Yoh Kamiyama,Anime,Horimiya,Winter,2021.0,
263,ABC Taisou!,"Mamoru Miyano, Nana Mizuki",Anime,Life Lessons with Uramichi Oniisan,Summer,2021.0,
264,BURN,NEWS,Anime,Yashahime: Princess Half-Demon,Winter,2021.0,
265,Monochrome City,ACE COLLECTION,Anime,Koikimo: It's Too Sick to Call this Love,Spring,2021.0,
266,Identity,Kiro Akiyama,Anime,The Promised Neverland: Season 2,Winter,2021.0,
267,Sora to Utsuro,Sasanomaly,Anime,The Case Study of Vanitas,Summer,2021.0,
268,Forever,L'Arc~en~Ciel,Anime,Edens Zero,Spring,2021.0,
269,ReBorn,NEWS,Anime,Yashahime: Princess Half-Demon: The Second Act,Fall,2021.0,
270,Reincarnate,Takuma Terashima,Anime,That Time I Got Reincarnated as a Slime: Season 2: Part 2,Summer,2021.0,
271,6-tsuko no Tamashii Nayuta made,AOP,Anime,Mr. Osomatsu: Season 3,Winter,2021.0,
272,Ashiato,the peggies,Anime,My Hero Academia: Season 5,Spring,2021.0,
273,Koko Kara Saki wa,Poppin' Party,Anime,Remake Our Life!,Summer,2021.0,
274,Andante ni Koi wo Shite!,angela,Anime,My Next Life as a Villainess: All Routes Lead to Doom! X,Summer,2021.0,
275,Naughty Love,"Ashu Nekota, Nairu, Kururu Kurasaka, Freya, Yuki Yomichi",Anime,Mother of the Goddess’ Dormitory,Summer,2021.0,
276,BLIZZARD,BURNOUT SYNDROMES,Anime,Those Snow White Notes,Spring,2021.0,
277,Believe in you,nonoc,Anime,Re:ZERO: Starting Life in Another World: Season 2: Part 2,Spring,2021.0,
278,Kodo,Eir Aoi,Anime,BACK ARROW,Winter,2021.0,
279,No.1,DISH//,Anime,My Hero Academia: Season 5,Spring,2021.0,
280,dawn,LiSA,Anime,BACK ARROW,Winter,2021.0,
281,"Tayutae, Nanairo",ARCANA PROJECT,Anime,The Aquatope on White Sand,Summer,2021.0,
282,WE ARE THE ONE,"Aina Rutou, Ami Mizuno, Shiori Hanaoka, Ruka Yashiro",Anime,Idolls!,Winter,2021.0,
283,Oz.,yama,Anime,Ranking of Kings,Fall,2021.0,
284,harevutai,The Brow Beat,Anime,Yu-Gi-Oh! SEVENS,Summer,2021.0,
285,Hikare Inochi,Kitri,Anime,Komi Can't Communicate,Fall,2021.0,
286,Tough Heart,Aika Kobayashi,Anime,True Cooking Master Boy,Winter,2021.0,
287,Akeboshi,LiSA,Anime,Demon Slayer: Mugen Train Arc,Fall,2021.0,
288,AYASHIKU Get your heart,5 to HEAVEN,Anime,Fairy Ranmaru,Spring,2021.0,
289,DIES IN NO TIME,Jun Fukuyama,Anime,The Vampire Dies in No Time,Fall,2021.0,
290,Pyramid Daigyakuten,Spira Spica,Anime,The Hidden Dungeon Only I Can Enter,Winter,2021.0,
291,Minikui Ikimono,CHiCO with HoneyWorks,Anime,Otherside Picnic,Winter,2021.0,
292,Analogy,Ayane,Anime,Higurashi: When They Cry: SOTSU,Summer,2021.0,
293,Glorious Days,9-tie,Anime,Selection Project,Fall,2021.0,
294,Different,BAND-MAID,Anime,Log Horizon: Destruction of the Round Table,Winter,2021.0,
295,Nemophila,Coalamode.,Anime,The Hidden Dungeon Only I Can Enter,Winter,2021.0,
296,Cobalt no Kodou,Nanaka Suwa,Anime,Battle Athletes Victory ReSTART!,Spring,2021.0,
297,Annoying! San San Week!,"Aoi Koga, Reina Aoyama, Saori Hayami, Tomori Kusunoki",Anime,My Senpai is Annoying,Fall,2021.0,
298,Beautiful Day,Yui Nishio,Anime,"Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside",Fall,2021.0,
299,Chisana Kiseki,Lia,Anime,Kaginado,Fall,2021.0,
300,Seija no Koushin,Tatsuya Kitani,Anime,The Idaten Deities Know Only Peace,Summer,2021.0,
301,MUSASHI,Zuma from Nijiirozamurai,Anime,MEGATON MUSASHI,Fall,2021.0,
302,3-pun 29-byou,hitorie,Anime,86,Spring,2021.0,
303,Dreaming Sound,Anna Suzuki,Anime,Waccha PriMagi!,Fall,2021.0,
